what,kind,bundleId,bundleVersion,description,time
error,log,,,"Connected system timestamp not found on target at expected base address.",1522382676428
error,log,,,"Connected system timestamp not found on target at expected base address.",1522382676458
error,log,,,"SOPC design not set.",1522382676798
error,log,,,"CPU module not set.",1522382676802
error,log,,,"The SOPC design does not contain a CPU of a supported architecture.",1522382676805
error,log,,,"CPU architecture type not set. ",1522382676808
error,log,,,"CPU master group not set.",1522382676812
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1522382680261
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1522382681490
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1522382681972
error,log,,,"SOPC design not set.",1522382682004
error,log,,,"CPU module not set.",1522382682009
error,log,,,"The SOPC design does not contain a CPU of a supported architecture.",1522382682013
error,log,,,"Target must be configured before use",1522382682016
error,log,,,"CPU architecture type not set. ",1522382682021
error,log,,,"CPU master group not set.",1522382682028
error,log,,,"SOPC design not set.",1522382682054
error,log,,,"CPU module not set.",1522382682058
error,log,,,"The SOPC design does not contain a CPU of a supported architecture.",1522382682062
error,log,,,"CPU architecture type not set. ",1522382682065
error,log,,,"CPU master group not set.",1522382682070
error,log,,,"Unable to open jtag uart",1522382682187
activated,view,com.altera.sbtgui.launch,10.1.0.153,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1522382682194
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1522382684081
error,log,,,"Failed Executing: [nios2-download, '--cable=USB-Blaster on localhost [USB-0]', --device=1, --instance=1, --stop, --accept-bad-sysid, --sidp=0x1821018] return code: 2, no processors found",1522382684981
error,log,,,"Failed Executing: [nios2-download, '--cable=USB-Blaster on localhost [USB-0]', --device=1, --instance=1, --go, --accept-bad-sysid, --sidp=0x1821018, /cygdrive/c/Users/pc01/Desktop/lab2/software/ram2/ram2.elf] return code: 2, no processors found",1522382688537
error,log,,,"Downloading ELF Process failed",1522382688544
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1522382688592
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1522382693200
activated,view,org.eclipse.cdt.ui,5.1.2.201002161416,"org.eclipse.cdt.ui.CView",1522382694518
activated,editor,org.eclipse.cdt.ui,5.1.2.201002161416,"org.eclipse.cdt.ui.editor.CEditor",1522382697483
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1522382698708
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1522382709574
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.undo",1522382741366
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.undo",1522382741936
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.undo",1522382742312
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.undo",1522382742950
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1522382747038
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1522382751878
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1522382807660
activated,view,org.eclipse.cdt.ui,5.1.2.201002161416,"org.eclipse.cdt.ui.CView",1522382808456
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1522382813788
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1522382815103
activated,editor,org.eclipse.cdt.ui,5.1.2.201002161416,"org.eclipse.cdt.ui.editor.CEditor",1522382817450
activated,view,org.eclipse.cdt.ui,5.1.2.201002161416,"org.eclipse.cdt.ui.CView",1522382821752
opened,editor,org.eclipse.cdt.ui,5.1.2.201002161416,"org.eclipse.cdt.ui.editor.CEditor",1522382821931
activated,editor,org.eclipse.cdt.ui,5.1.2.201002161416,"org.eclipse.cdt.ui.editor.CEditor",1522382821980
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.selectAll",1522382822994
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.copy",1522382823321
activated,view,org.eclipse.cdt.ui,5.1.2.201002161416,"org.eclipse.cdt.ui.CView",1522382825073
activated,editor,org.eclipse.cdt.ui,5.1.2.201002161416,"org.eclipse.cdt.ui.editor.CEditor",1522382825231
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.selectAll",1522382826165
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.paste",1522382826494
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1522382828352
activated,view,org.eclipse.cdt.ui,5.1.2.201002161416,"org.eclipse.cdt.ui.CView",1522382865784
activated,editor,org.eclipse.cdt.ui,5.1.2.201002161416,"org.eclipse.cdt.ui.editor.CEditor",1522382869474
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1522382870388
activated,view,org.eclipse.cdt.ui,5.1.2.201002161416,"org.eclipse.cdt.ui.CView",1522382871296
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1522382873810
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1522382877038
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1522382877326
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1522382880780
error,log,,,"SOPC design not set.",1522382892739
error,log,,,"CPU module not set.",1522382892742
error,log,,,"The SOPC design does not contain a CPU of a supported architecture.",1522382892746
error,log,,,"CPU architecture type not set. ",1522382892750
error,log,,,"CPU master group not set.",1522382892753
error,log,,,"SOPC design not set.",1522382892764
error,log,,,"CPU module not set.",1522382892768
error,log,,,"The SOPC design does not contain a CPU of a supported architecture.",1522382892771
error,log,,,"CPU architecture type not set. ",1522382892775
error,log,,,"CPU master group not set.",1522382892779
error,log,,,"SOPC design not set.",1522382892786
error,log,,,"CPU module not set.",1522382892790
error,log,,,"The SOPC design does not contain a CPU of a supported architecture.",1522382892793
error,log,,,"CPU architecture type not set. ",1522382892797
error,log,,,"CPU master group not set.",1522382892801
error,log,,,"SOPC design not set.",1522382892809
error,log,,,"CPU module not set.",1522382892813
error,log,,,"The SOPC design does not contain a CPU of a supported architecture.",1522382892816
error,log,,,"CPU architecture type not set. ",1522382892820
error,log,,,"CPU master group not set.",1522382892823
error,log,,,"SOPC design not set.",1522382892830
error,log,,,"CPU module not set.",1522382892834
error,log,,,"The SOPC design does not contain a CPU of a supported architecture.",1522382892838
error,log,,,"CPU architecture type not set. ",1522382892841
error,log,,,"CPU master group not set.",1522382892845
error,log,,,"SOPC design not set.",1522382893637
error,log,,,"CPU module not set.",1522382893641
error,log,,,"The SOPC design does not contain a CPU of a supported architecture.",1522382893644
error,log,,,"CPU architecture type not set. ",1522382893648
error,log,,,"CPU master group not set.",1522382893651
error,log,,,"SOPC design not set.",1522382893660
error,log,,,"CPU module not set.",1522382893664
error,log,,,"The SOPC design does not contain a CPU of a supported architecture.",1522382893667
error,log,,,"CPU architecture type not set. ",1522382893671
error,log,,,"CPU master group not set.",1522382893674
error,log,,,"SOPC design not set.",1522382893686
error,log,,,"CPU module not set.",1522382893689
error,log,,,"The SOPC design does not contain a CPU of a supported architecture.",1522382893693
error,log,,,"CPU architecture type not set. ",1522382893696
error,log,,,"CPU master group not set.",1522382893701
error,log,,,"SOPC design not set.",1522382893709
error,log,,,"CPU module not set.",1522382893712
error,log,,,"The SOPC design does not contain a CPU of a supported architecture.",1522382893716
error,log,,,"SOPC design not set.",1522382893719
error,log,,,"CPU architecture type not set. ",1522382893722
error,log,,,"CPU module not set.",1522382893725
error,log,,,"CPU master group not set.",1522382893729
error,log,,,"The SOPC design does not contain a CPU of a supported architecture.",1522382893732
error,log,,,"CPU architecture type not set. ",1522382893739
error,log,,,"SOPC design not set.",1522382893742
error,log,,,"CPU master group not set.",1522382893745
error,log,,,"CPU module not set.",1522382893749
error,log,,,"The SOPC design does not contain a CPU of a supported architecture.",1522382893755
error,log,,,"CPU architecture type not set. ",1522382893759
error,log,,,"CPU master group not set.",1522382893762
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1522382893835
error,log,,,"SOPC design not set.",1522382893877
error,log,,,"CPU module not set.",1522382893881
error,log,,,"The SOPC design does not contain a CPU of a supported architecture.",1522382893886
error,log,,,"CPU architecture type not set. ",1522382893890
error,log,,,"CPU master group not set.",1522382893893
error,log,,,"SOPC design not set.",1522382897114
error,log,,,"CPU module not set.",1522382897118
error,log,,,"The SOPC design does not contain a CPU of a supported architecture.",1522382897121
error,log,,,"CPU architecture type not set. ",1522382897125
error,log,,,"CPU master group not set.",1522382897129
error,log,,,"SOPC design not set.",1522382897133
error,log,,,"CPU module not set.",1522382897136
error,log,,,"The SOPC design does not contain a CPU of a supported architecture.",1522382897139
error,log,,,"CPU architecture type not set. ",1522382897142
error,log,,,"CPU master group not set.",1522382897146
error,log,,,"SOPC design not set.",1522382897156
