what,kind,bundleId,bundleVersion,description,time
activated,view,com.altera.sbtgui.launch,10.1.0.153,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1522383162398
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1522383168106
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1522383172859
activated,view,org.eclipse.cdt.ui,5.1.2.201002161416,"org.eclipse.cdt.ui.CView",1522383173762
error,log,,,"SOPC design not set.",1522383177140
error,log,,,"CPU module not set.",1522383177144
error,log,,,"The SOPC design does not contain a CPU of a supported architecture.",1522383177148
error,log,,,"CPU architecture type not set. ",1522383177151
error,log,,,"CPU master group not set.",1522383177155
error,log,,,"SOPC design not set.",1522383177158
error,log,,,"CPU module not set.",1522383177162
error,log,,,"The SOPC design does not contain a CPU of a supported architecture.",1522383177166
error,log,,,"CPU architecture type not set. ",1522383177170
error,log,,,"CPU master group not set.",1522383177173
error,log,,,"SOPC design not set.",1522383177180
error,log,,,"CPU module not set.",1522383177184
error,log,,,"The SOPC design does not contain a CPU of a supported architecture.",1522383177188
error,log,,,"CPU architecture type not set. ",1522383177191
error,log,,,"CPU master group not set.",1522383177194
error,log,,,"SOPC design not set.",1522383177201
error,log,,,"CPU module not set.",1522383177205
error,log,,,"The SOPC design does not contain a CPU of a supported architecture.",1522383177208
error,log,,,"CPU architecture type not set. ",1522383177212
error,log,,,"CPU master group not set.",1522383177216
error,log,,,"SOPC design not set.",1522383177223
error,log,,,"CPU module not set.",1522383177229
error,log,,,"The SOPC design does not contain a CPU of a supported architecture.",1522383177233
error,log,,,"CPU architecture type not set. ",1522383177237
error,log,,,"CPU master group not set.",1522383177241
error,log,,,"SOPC design not set.",1522383178026
error,log,,,"CPU module not set.",1522383178030
error,log,,,"The SOPC design does not contain a CPU of a supported architecture.",1522383178034
error,log,,,"CPU architecture type not set. ",1522383178038
error,log,,,"CPU master group not set.",1522383178041
error,log,,,"SOPC design not set.",1522383178050
error,log,,,"CPU module not set.",1522383178054
error,log,,,"The SOPC design does not contain a CPU of a supported architecture.",1522383178057
error,log,,,"CPU architecture type not set. ",1522383178060
error,log,,,"CPU master group not set.",1522383178064
error,log,,,"SOPC design not set.",1522383178074
error,log,,,"CPU module not set.",1522383178078
error,log,,,"The SOPC design does not contain a CPU of a supported architecture.",1522383178081
error,log,,,"CPU architecture type not set. ",1522383178085
error,log,,,"CPU master group not set.",1522383178088
error,log,,,"SOPC design not set.",1522383178095
error,log,,,"CPU module not set.",1522383178099
error,log,,,"The SOPC design does not contain a CPU of a supported architecture.",1522383178102
error,log,,,"CPU architecture type not set. ",1522383178106
error,log,,,"SOPC design not set.",1522383178109
error,log,,,"CPU master group not set.",1522383178113
error,log,,,"CPU module not set.",1522383178116
error,log,,,"The SOPC design does not contain a CPU of a supported architecture.",1522383178124
error,log,,,"SOPC design not set.",1522383178127
error,log,,,"CPU architecture type not set. ",1522383178131
error,log,,,"CPU module not set.",1522383178134
error,log,,,"CPU master group not set.",1522383178138
error,log,,,"The SOPC design does not contain a CPU of a supported architecture.",1522383178141
error,log,,,"CPU architecture type not set. ",1522383178148
error,log,,,"CPU master group not set.",1522383178152
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1522383178233
error,log,,,"SOPC design not set.",1522383178243
error,log,,,"CPU module not set.",1522383178247
